catalog_num,class_num,component,course_id,end_time,id,instructor,meeting_days,room,seats,section,start_time,subject,term,title,topic
201-DL,38110,LEC,20458,,156768,Allan Richard Drebin,,,30,12,,ACCOUNT,2017 Spring,Introduction to Financial Accounting,
202-DL,38111,LEC,20459,,156769,Ronald J Jastrzebski,,,30,14,,ACCOUNT,2017 Spring,Introduction to Managerial Accounting,
211-DL,38112,LEC,20462,,156770,Simona S Citron,,,30,16,,ACCOUNT,2017 Spring,Intermediate Accounting II,
308-DL,38113,LEC,20463,,156771,Beth Kane,,TBA ,30,12,,ACCOUNT,2017 Spring,Income Tax II,
360-DL,38114,LEC,20466,,156772,Jay I Mages,,TBA ,30,15,,ACCOUNT,2017 Spring,Auditing II,
390-DL,38115,LEC,20467,,156773,Robert Keith Minniti,,TBA ,30,12,,ACCOUNT,2017 Spring,Topics in Accounting:,
431-0,30046,LEC,5,12:00,153436,Matthew Robert Lyle,TuFr,,65,61,10:30,ACCT,2017 Spring,Managerial Accounting,
431-0,30045,LEC,5,21:00,153435,Matthew Robert Lyle,Tu,Wieboldt Hall 203,49,30,18:00,ACCT,2017 Spring,Managerial Accounting,
451-0,30048,LEC,17,12:00,153438,Clare Wang,MoTh,,48,61,10:30,ACCT,2017 Spring,Financial Reporting and Analysis,
451-0,30049,LEC,17,15:00,153439,Clare Wang,MoTh,,48,62,13:30,ACCT,2017 Spring,Financial Reporting and Analysis,
451-0,30047,LEC,17,21:00,153437,Clare Wang,Mo,Wieboldt Hall 309,40,30,18:00,ACCT,2017 Spring,Financial Reporting and Analysis,
457-5,30051,LEC,22257,21:30,153440,Mark W Finn,Tu,,65,81,18:30,ACCT,2017 Spring,Global Financial Management and Reporting,
459-5,30050,LEC,18992,21:30,153441,Mark W Finn,We,,65,81,18:30,ACCT,2017 Spring,Sustainability Reporting and Analysis,
313-CN,38052,LEC,5907,21:15,156774,Christopher Michael Bruney,Tu,TBA ,15,14,18:15,ADVT,2017 Spring,Advertising: Advanced Creative,
370-CN,38053,LEC,5919,21:15,156775,Michael Kevin Shmarak,Th,Wieboldt Hall 247,30,16,18:15,ADVT,2017 Spring,Introduction to Public Relations,
101-6,32174,SEM,1186,12:20,154907,Nitasha Tamar Sharma,TuTh,University Library 4722,13,1,11:00,AF_AM_ST,2017 Spring,First-Year Seminar,Mixed Race Memoir
211-0,32222,LEC,20272,12:20,154908,LaShonda Katrice Barnett,MoWe,Locy Hall 214,30,1,11:00,AF_AM_ST,2017 Spring,Literatures of the Black World,
213-0,32223,SEM,20273,13:50,154909,Sherwin K Bryant,TuTh,Locy Hall 301,30,1,12:30,AF_AM_ST,2017 Spring,History of the Black World,
218-0,32217,SEM,18444,15:20,154910,Nitasha Tamar Sharma,TuTh,Parkes Hall 223,30,1,14:00,AF_AM_ST,2017 Spring,Asian/Black Historical Relations in the U.S.,
250-0,32189,SEM,16191,13:50,154911,LaShonda Katrice Barnett,MoWe,Locy Hall 214,30,1,12:30,AF_AM_ST,2017 Spring,"Race, Class and Gender",
339-0,32224,SEM,21055,16:50,154912,Herman Barnor Hesse,MoWe,Kresge Centennial Hall 2-425,30,20,15:30,AF_AM_ST,2017 Spring,Unsettling Whiteness,
375-0,32218,LEC,18849,12:20,154913,Herman Barnor Hesse,MoWe,Technological Institute MG28,30,20,11:00,AF_AM_ST,2017 Spring,Post Colonial African American Studies,
380-0,32175,LEC,1218,16:50,154914,Oluwafunmilayo Eunice Okiji,TuTh,University Hall 122,30,21,15:30,AF_AM_ST,2017 Spring,Topics in African-American Studies,Black Popular Music
380-0,37363,LEC,1218,12:20,154915,Celeste Michele Watkins-Hayes,TuTh,Locy Hall 214,40,22,11:00,AF_AM_ST,2017 Spring,Topics in African-American Studies,HIV/AIDS
381-0,32188,LEC,15809,12:20,154916,Melanie Lee Chambliss,TuTh,Kresge Centennial Hall 2-425,30,1,11:00,AF_AM_ST,2017 Spring,Topics in Transnational Black Studies,Archives and Absences
394-0,32176,LEC,1220,18:50,154917,Timothy J King,Mo,Harris Hall L28,30,1,16:00,AF_AM_ST,2017 Spring,Professional Linkage Seminar,
440-0,32190,LEC,17429,20:50,154918,Sherwin K Bryant,Th,TBA ,15,1,18:00,AF_AM_ST,2017 Spring,Black Historiography,
480-0,32220,SEM,19283,19:50,154920,John David Marquez,We,,15,2,17:00,AF_AM_ST,2017 Spring,Graduate Topics in African American Studies,Comparative Race & Diaspora Studies
480-0,32221,SEM,19283,12:50,154921,Oluwafunmilayo Eunice Okiji,Tu,Annie May Swift Hall 110,6,3,10:00,AF_AM_ST,2017 Spring,Graduate Topics in African American Studies,"Jazz, Adorno, and Black Life"
480-0,32219,SEM,19283,16:50,154919,Sylvester Alric Johnson,Tu,University Library 4770,15,1,14:00,AF_AM_ST,2017 Spring,Graduate Topics in African American Studies,"Freedom, Empire and Black Religions"
490-0,32194,IND,17544,,154925,Mary E Pattillo,,TBA ,10,23,,AF_AM_ST,2017 Spring,Independent Study,
490-0,32197,IND,17544,,154928,Tracy L Vaughn,,TBA ,10,26,,AF_AM_ST,2017 Spring,Independent Study,
490-0,32199,IND,17544,,154930,Michelle Maria Wright,,TBA ,10,28,,AF_AM_ST,2017 Spring,Independent Study,
490-0,32201,IND,17544,,154932,Nitasha Tamar Sharma,,TBA ,10,30,,AF_AM_ST,2017 Spring,Independent Study,
490-0,32191,IND,17544,,154922,Martha Biondi,,TBA ,10,20,,AF_AM_ST,2017 Spring,Independent Study,
490-0,32192,IND,17544,,154923,,,TBA ,10,21,,AF_AM_ST,2017 Spring,Independent Study,
490-0,32193,IND,17544,,154924,Sylvester Alric Johnson,,TBA ,10,22,,AF_AM_ST,2017 Spring,Independent Study,
490-0,32195,IND,17544,,154926,Herman Barnor Hesse,,TBA ,10,24,,AF_AM_ST,2017 Spring,Independent Study,
490-0,32196,IND,17544,,154927,John David Marquez,,TBA ,10,25,,AF_AM_ST,2017 Spring,Independent Study,
490-0,32198,IND,17544,,154929,,,TBA ,10,27,,AF_AM_ST,2017 Spring,Independent Study,
490-0,32200,IND,17544,,154931,Celeste Michele Watkins-Hayes,,TBA ,10,29,,AF_AM_ST,2017 Spring,Independent Study,
490-0,32202,IND,17544,,154933,Alexander G Weheliye,,TBA ,10,31,,AF_AM_ST,2017 Spring,Independent Study,
491-0,32211,SEM,18031,,154942,Sherwin K Bryant,,TBA ,10,33,,AF_AM_ST,2017 Spring,Reading and Pedagogy,
491-0,32204,SEM,18031,,154935,,,TBA ,10,26,,AF_AM_ST,2017 Spring,Reading and Pedagogy,
491-0,32206,SEM,18031,,154937,,,TBA ,10,28,,AF_AM_ST,2017 Spring,Reading and Pedagogy,
491-0,32208,SEM,18031,,154939,Sylvester Alric Johnson,,TBA ,10,30,,AF_AM_ST,2017 Spring,Reading and Pedagogy,
491-0,32210,SEM,18031,,154941,Michelle Maria Wright,,TBA ,10,32,,AF_AM_ST,2017 Spring,Reading and Pedagogy,
491-0,32203,SEM,18031,,154934,John David Marquez,,TBA ,10,25,,AF_AM_ST,2017 Spring,Reading and Pedagogy,
491-0,32205,SEM,18031,,154936,Herman Barnor Hesse,,TBA ,10,27,,AF_AM_ST,2017 Spring,Reading and Pedagogy,
491-0,32207,SEM,18031,,154938,,,TBA ,10,29,,AF_AM_ST,2017 Spring,Reading and Pedagogy,
491-0,32209,SEM,18031,,154940,Nitasha Tamar Sharma,,TBA ,10,31,,AF_AM_ST,2017 Spring,Reading and Pedagogy,
360-SA,32237,LEC,21074,,154900,Karey L Fuhs,,TBA ,25,20,,AFST,2017 Spring,"Culture, Language, and Identity in South Africa",
390-0,38324,LEC,8702,11:50,157027,Richard A Joseph,Mo,Scott Hall 107 Burdick Room,15,27,9:00,AFST,2017 Spring,Topics in African Studies,"Democracy, Autocracy, & Disorder: The New Global E"
390-0,32231,LEC,8702,15:20,154902,Richard A Joseph,TuTh,Annenberg Hall G21,30,21,14:00,AFST,2017 Spring,Topics in African Studies,Governing Fractured Nations: Africa & the Post-Imp
390-0,32232,LEC,8702,11:50,154903,Philippa Ann Skotnes,MoWe,640 Lincoln St Room 135,20,22,9:00,AFST,2017 Spring,Topics in African Studies,Framing the World
390-0,38011,LEC,8702,15:20,156760,Kathleen Fitzpatrick Klaus,TuTh,Garrett-Evangelical Seminary 107,15,26,14:00,AFST,2017 Spring,Topics in African Studies,Land Rights & Conflict in Global Perspective
390-0,32233,LEC,8702,16:50,154904,Philippa Ann Skotnes,MoWe,University Hall 121,30,23,15:30,AFST,2017 Spring,Topics in African Studies,Other Histories and the Limits of Archive
390-0,37353,LEC,8702,,154906,,,TBA ,0,25,,AFST,2017 Spring,Topics in African Studies,"State, Ethnicity, and Class"
390-0,32230,LEC,8702,12:20,154901,Martha Anne Wilfahrt,TuTh,555 Clark St 230,20,20,11:00,AFST,2017 Spring,Topics in African Studies,Contemporary African Politics
390-0,32234,LEC,8702,12:20,154905,,TuTh,,15,24,11:00,AFST,2017 Spring,Topics in African Studies,N. African Lit in the Age of Social Media
301-3,30844,SEM,1756,16:50,154943,Elondust Johnson,Tu,,7,20,14:00,AMER_ST,2017 Spring,Seminar for Majors,Blacktino Queer Performance
310-0,30846,SEM,1757,16:50,154945,Douglas Kiel,TuTh,University Hall 101,15,21,15:30,AMER_ST,2017 Spring,Studies in American Culture,Real Indians: Indigeneity & the Authenticity Probl
310-0,30845,SEM,1757,11:50,154944,Marcia B Gealy,MoWeFr,555 Clark St 230,20,20,11:00,AMER_ST,2017 Spring,Studies in American Culture,Storytelling in American Jewish Literature Studies
310-0,30847,SEM,1757,12:20,154946,Douglas Kiel,MoWe,Parkes Hall 224,30,22,11:00,AMER_ST,2017 Spring,Studies in American Culture,Development of American Indian Law & Policy
310-0,37882,SEM,1757,13:50,154947,Shana B Bernstein,TuTh,,20,23,12:30,AMER_ST,2017 Spring,Studies in American Culture,US Health:Illness & Inequality
101-6,32238,SEM,1089,12:20,154948,Mark William Hauser,TuTh,1810 Hinman Ave (ANTHRO) Sem Rm 104,14,21,11:00,ANTHRO,2017 Spring,First-Year Seminar,Fantastic Archaeology: Science and Pseudoscience i
101-6,32239,SEM,1089,13:50,154949,Jessica R Winegar,TuTh,1810 Hinman Ave (ANTHRO) Sem Rm 104,14,22,12:30,ANTHRO,2017 Spring,First-Year Seminar,Popular Culture in the Middle East
211-0,32240,LEC,1094,12:20,154950,Elizabeth Anne Smith,TuTh,Annenberg Hall G15,40,1,11:00,ANTHRO,2017 Spring,Culture & Society,
211-0,32241,LEC,1094,15:20,154951,Elizabeth Anne Smith,TuTh,Swift Hall 107,40,2,14:00,ANTHRO,2017 Spring,Culture & Society,
232-0,32246,LEC,1102,10:50,154952,Robert Launay,MoWeFr,Annenberg Hall G15,100,21,10:00,ANTHRO,2017 Spring,Myth and Symbolism,
255-0,32331,LEC,15232,13:50,154953,Adia Benton,MoWe,Swift Hall 107,70,1,12:30,ANTHRO,2017 Spring,Contemporary African Worlds,
309-0,32337,SEM,22426,12:00,154954,Erin Beth Waxenbaum Dennison,Fr,1810 Hinman Ave (ANTHRO) Lab A58,10,1,9:00,ANTHRO,2017 Spring,Human Osteology,
314-0,32330,LEC,15102,10:50,154955,Erin Beth Waxenbaum Dennison,MoWe,1810 Hinman Ave (ANTHRO) Sem Rm 104,15,20,9:30,ANTHRO,2017 Spring,Human Growth & Development,
354-0,32247,SEM,1127,19:50,154956,Micaela di Leonardo,Th,1810 Hinman Ave (ANTHRO) Sem Rm 104,20,20,17:00,ANTHRO,2017 Spring,Gender and Anthropology,
390-0,32250,SEM,1147,12:20,154959,Christopher W Kuzawa,TuTh,Locy Hall 318,20,23,11:00,ANTHRO,2017 Spring,Topics In Anthropology,Evolutionary Medicine
390-0,32248,SEM,1147,19:50,154957,Micaela di Leonardo,Tu,1810 Hinman Ave (ANTHRO) Sem Rm 104,20,21,17:00,ANTHRO,2017 Spring,Topics In Anthropology,"American Inequalities, the Public Sphere, Counterp"
390-0,32254,SEM,1147,16:50,154963,Emrah Yildiz,TuTh,,15,27,15:30,ANTHRO,2017 Spring,Topics In Anthropology,"Producing Territory: People, Commodities and Value"
390-0,32257,SEM,1147,10:50,154966,Stephen C Hill,TuTh,1810 Hinman Ave (ANTHRO) Sem Rm 104,15,30,9:30,ANTHRO,2017 Spring,Topics In Anthropology,Music of Africa
390-0,32255,SEM,1147,16:50,154964,Erin Virginia Moore,We,1810 Hinman Ave (ANTHRO) Sem Rm B07,20,28,14:00,ANTHRO,2017 Spring,Topics In Anthropology,Global Youth
390-0,32258,SEM,1147,10:50,154967,Stefan Henning,TuTh,1810 Hinman Ave (ANTHRO) Sem Rm B07,30,31,9:30,ANTHRO,2017 Spring,Topics In Anthropology,Islam in Asia
390-0,37920,SEM,1147,18:20,154968,Emrah Yildiz,TuTh,,30,32,17:00,ANTHRO,2017 Spring,Topics In Anthropology,Breaking the Law in the Middle East:  Many Careers
390-0,32249,SEM,1147,10:50,154958,Hiilei Julia Hobart,TuTh,Locy Hall 301,15,22,9:30,ANTHRO,2017 Spring,Topics In Anthropology,Intro to Critical Food Studies
390-0,32253,SEM,1147,13:50,154962,Mitali Thakor,TuTh,University Hall 122,20,26,12:30,ANTHRO,2017 Spring,Topics In Anthropology,"Risky Borders: Sex, Race, and Techniques of Border"
390-0,32256,SEM,1147,16:50,154965,Emily N Haynes,We,1810 Hinman Ave (ANTHRO) Lab A56,12,29,14:00,ANTHRO,2017 Spring,Topics In Anthropology,Language & Sexuality
390-0,38013,SEM,1147,13:50,156762,Eli S Suzukovich III,MoWe,Locy Hall 109,12,34,12:30,ANTHRO,2017 Spring,Topics In Anthropology,Introduction to Ethnobiology Theory and Practice
390-0,38012,SEM,1147,16:50,156761,Meredith L McGuire,TuTh,,6,33,15:30,ANTHRO,2017 Spring,Topics In Anthropology,Globalizing India
390-0,32252,SEM,1147,11:50,154961,Margaret Ellen Pollak,Tu,Parkes Hall 215,10,25,9:00,ANTHRO,2017 Spring,Topics In Anthropology,Native American Health
390-0,32251,SEM,1147,15:20,154960,Stefanie Toney Graeter,TuTh,1810 Hinman Ave (ANTHRO) Sem Rm B07,15,24,14:00,ANTHRO,2017 Spring,Topics In Anthropology,Anthropology of Science
474-0,32284,LEC,1174,17:00,154969,Robert Launay,Th,1810 Hinman Ave (ANTHRO) Sem Rm 104,15,20,14:00,ANTHRO,2017 Spring,Seminar in Religion and Values,
486-0,32285,SEM,1176,13:30,154970,Christopher W Kuzawa,We,1810 Hinman Ave (ANTHRO) Lab A58,10,20,11:00,ANTHRO,2017 Spring,Evolution & Biological Anthropology,
490-0,32286,SEM,1177,16:50,154971,Mark William Hauser,Tu,1810 Hinman Ave (ANTHRO) Sem Rm 104,10,21,14:00,ANTHRO,2017 Spring,Topics in Anthropology,Artifact and Text
490-0,32288,SEM,1177,20:50,154973,Jessica R Winegar,Tu,1810 Hinman Ave (ANTHRO) Sem Rm B07,10,23,18:00,ANTHRO,2017 Spring,Topics in Anthropology,Politics and Aesthetics
490-0,32287,SEM,1177,16:50,154972,Cynthia Rivera,We,1810 Hinman Ave (ANTHRO) Sem Rm 104,12,22,14:00,ANTHRO,2017 Spring,Topics in Anthropology,Household Archaeology
519-0,32336,SEM,19442,,154974,Jessica R Winegar,,TBA ,50,20,,ANTHRO,2017 Spring,Responsible Conduct of Research Training,
570-0,32313,SEM,1183,,154975,Jessica R Winegar,,TBA ,10,20,,ANTHRO,2017 Spring,Anthropology Seminar (TA Credit),
111-3,34419,LEC,2326,11:50,154978,Amjad M Al-Dajani,MoTuWeThFr,Locy Hall 303,18,22,11:00,ARABIC,2017 Spring,Arabic I,
111-3,34418,LEC,2326,10:50,154977,Amjad M Al-Dajani,MoTuWeThFr,University Library 5722,18,21,10:00,ARABIC,2017 Spring,Arabic I,
111-3,34417,LEC,2326,13:50,154976,Asma Ben Romdhane,MoTuWeThFr,,18,20,13:00,ARABIC,2017 Spring,Arabic I,
114-0,34429,LEC,18622,13:50,154979,Ragy H Ibrahim Mikhaeel,TuTh,University Library 4670,15,20,12:30,ARABIC,2017 Spring,Conversation and Culture in the Arab World,Egyptian Arabic
121-3,34421,LEC,2329,13:50,154981,Fadia M Antabli,MoTuWeTh,University Library 3322,15,21,13:00,ARABIC,2017 Spring,Arabic II,
121-3,34420,LEC,2329,15:50,154980,Asma Ben Romdhane,MoTuWeTh,,15,20,15:00,ARABIC,2017 Spring,Arabic II,
125-0,34453,LEC,21881,16:50,154982,Ragy H Ibrahim Mikhaeel,TuTh,University Library 4722,15,20,15:30,ARABIC,2017 Spring,Media Arabic,
211-3,34423,LEC,2364,13:50,154983,Amjad M Al-Dajani,MoWe,University Library 4722,15,20,12:30,ARABIC,2017 Spring,Arabic III,
311-3,34428,LEC,17503,16:50,154984,Ragy H Ibrahim Mikhaeel,MoWe,University Library 3322,15,20,15:30,ARABIC,2017 Spring,Arabic IV,
410-0,34437,IND,19107,,154986,Ragy H Ibrahim Mikhaeel,,TBA ,15,21,,ARABIC,2017 Spring,Advanced Study,
410-0,34439,IND,19107,,154988,Fadia M Antabli,,TBA ,15,23,,ARABIC,2017 Spring,Advanced Study,
410-0,34438,IND,19107,,154987,,,TBA ,15,22,,ARABIC,2017 Spring,Advanced Study,
410-0,34436,IND,19107,,154985,,,TBA ,15,20,,ARABIC,2017 Spring,Advanced Study,
120-0,35758,LEC,1303,15:50,154991,Andrew W Falkowski,TuTh,640 Lincoln St Room 217,20,23,13:00,ART,2017 Spring,Introduction to Painting,
120-0,35759,LEC,1303,11:50,154992,Sherwin Samuel Ovid,MoWe,640 Lincoln St Room 217,20,26,9:00,ART,2017 Spring,Introduction to Painting,
120-0,35757,LEC,1303,11:50,154990,Andrew W Falkowski,TuTh,640 Lincoln St Room 217,20,22,9:00,ART,2017 Spring,Introduction to Painting,
120-0,35756,LEC,1303,15:50,154989,Sherwin Samuel Ovid,MoWe,640 Lincoln St Room 217,20,21,13:00,ART,2017 Spring,Introduction to Painting,
125-0,35761,LEC,1305,15:50,154994,Deborah A Sokolow,MoWe,,20,22,13:00,ART,2017 Spring,Introduction to Drawing,
125-0,35760,LEC,1305,11:50,154993,Deborah A Sokolow,MoWe,,20,21,9:00,ART,2017 Spring,Introduction to Drawing,
125-0,35762,LEC,1305,11:50,154995,Allison L Wade,TuTh,,20,23,9:00,ART,2017 Spring,Introduction to Drawing,
125-0,35763,LEC,1305,15:50,154996,Stephen P Reinke,TuTh,,20,24,13:00,ART,2017 Spring,Introduction to Drawing,
130-0,35782,LEC,18859,11:50,154997,Rudolf Brendan Fernandes,MoWe,,20,1,9:00,ART,2017 Spring,Introduction to Time Based Arts,
140-0,35765,LEC,1308,15:50,154999,Allison L Wade,TuTh,640 Lincoln St Room 128,20,2,13:00,ART,2017 Spring,Introduction to Sculpture,
140-0,35764,LEC,1308,15:50,154998,Michael J Rakowitz,MoWe,640 Lincoln St Room 128,20,1,13:00,ART,2017 Spring,Introduction to Sculpture,
150-0,35766,LEC,1309,15:50,155000,Pamela L Bannos,TuTh,,15,20,13:00,ART,2017 Spring,Introduction to Photography,
150-0,35767,LEC,1309,11:50,155001,Pamela L Bannos,TuTh,,15,21,9:00,ART,2017 Spring,Introduction to Photography,
151-CN,38287,LEC,21848,21:15,156987,Pamela L Bannos,We,TBA ,12,65,18:15,ART,2017 Spring,Introduction to Digital Photography,
372-0,35768,LEC,1324,18:50,155002,Lane B Relyea,We,,25,1,16:00,ART,2017 Spring,Art Theory and Practice Seminar,
380-0,35781,LEC,15606,15:50,155003,Jeanne Dunning,TuTh,640 Lincoln St Room 202,20,20,13:00,ART,2017 Spring,Studio Critique,
390-0,35772,LEC,1325,15:50,155007,Rudolf Brendan Fernandes,MoWe,,10,24,13:00,ART,2017 Spring,Special Topics in Art,Printmaking--In Multiplicity
390-0,35770,LEC,1325,19:50,155005,Zachary Jack Buchner,MoWe,640 Lincoln St Room 217,20,22,17:00,ART,2017 Spring,Special Topics in Art,Between Painting and Sculpture
390-0,35769,LEC,1325,11:50,155004,Philippa Ann Skotnes,MoWe,640 Lincoln St Room 135,20,20,9:00,ART,2017 Spring,Special Topics in Art,Framing the World
390-0,35773,LEC,1325,11:50,155008,Huong Ngoc Ngo,TuTh,,20,25,9:00,ART,2017 Spring,Special Topics in Art,Weapons of the Weak: Image-making as Resistance
390-0,35771,LEC,1325,18:50,155006,Stephen P Reinke,TuTh,,20,23,16:00,ART,2017 Spring,Special Topics in Art,
422-1,35776,LEC,1328,18:50,155009,Inigo Manglano-Ovalle,Mo,Locy Hall 011,10,20,16:00,ART,2017 Spring,Studio Art,
235-0,32475,LEC,15061,12:20,155010,Jesus R Escobar,TuTh,,100,1,11:00,ART_HIST,2017 Spring,Introduction to Latin American Art,
250-0,32426,LEC,1233,13:50,155011,Claudia E Swan,MoWe,,100,20,12:30,ART_HIST,2017 Spring,Introduction to European Art,Early Modern
319-0,32431,LEC,1237,10:50,155012,Ann C Gunter,TuTh,University Hall 112,20,1,9:30,ART_HIST,2017 Spring,Special Topics in Ancient Art,"Monsters, Art, and Civilization"
367-0,32432,LEC,1257,13:50,155013,Christine Anne Bell,TuTh,555 Clark St B03,35,1,12:30,ART_HIST,2017 Spring,Special Topics in American Art,Rembering the Civil War
368-0,37388,LEC,18566,17:50,155014,Peter D Fenves,MoWe,University Hall 101,5,20,17:00,ART_HIST,2017 Spring,Special Topics in 20th Century Art,
369-0,32433,LEC,1258,17:50,155015,Hannah J Feldman,Tu,Kresge Centennial Hall 2-410,16,1,15:00,ART_HIST,2017 Spring,Special Topics in 20th Century Art,What is a Place? Art and the Spatial Imagination i
379-0,32434,LEC,1262,12:20,155016,Jun Hu,TuTh,,24,1,11:00,ART_HIST,2017 Spring,Topics in Modern Architecture,East Asian Architecture
390-0,32436,SEM,1272,13:50,155018,Christina Hilleboe Kiaer,MoWe,,15,2,12:30,ART_HIST,2017 Spring,Undergraduate Seminar,Picasso
390-0,32437,SEM,1272,15:20,155019,Bilha Moor,MoWe,Kresge Centennial Hall 4-410,15,3,14:00,ART_HIST,2017 Spring,Undergraduate Seminar,"Art of the Ottomans, Safavids, and Mughals"
390-0,32435,SEM,1272,16:50,155017,Rebecca Elizabeth Zorach,Th,Kresge Centennial Hall 2-410,15,1,14:00,ART_HIST,2017 Spring,Undergraduate Seminar,"Art, Ecology, and Politics"
396-0,32438,LEC,1276,,155020,Christina E Normore,,TBA ,10,1,,ART_HIST,2017 Spring,Internship in the Arts,
406-0,32474,LEC,11626,16:50,157044,Rebecca Elizabeth Zorach,Fr,,15,1,14:00,ART_HIST,2017 Spring,Dissertation Proposal Writing,Dissertation Prospectus Seminar
430-0,32453,LEC,1284,16:50,155021,Claudia E Swan,Th,,15,1,14:00,ART_HIST,2017 Spring,Studies in Renaissance Art,Aby Warburg/Atlas
460-0,32454,LEC,1290,16:50,155022,Christina Hilleboe Kiaer,Tu,,15,1,14:00,ART_HIST,2017 Spring,Studies in 20Th Century Art,The Russian Avant-Garde
460-0,32456,LEC,1290,16:50,155024,Huey Gene Copeland II,Mo,,15,3,14:00,ART_HIST,2017 Spring,Studies in 20Th Century Art,Black Masculinities in Contemporary American Art
460-0,32455,LEC,1290,16:50,155023,Hannah J Feldman,We,,15,2,14:00,ART_HIST,2017 Spring,Studies in 20Th Century Art,Speculation and the Speculative
496-0,32457,LEC,1298,,155025,Christina Hilleboe Kiaer,,TBA ,10,20,,ART_HIST,2017 Spring,Internship in the Arts,
570-0,32473,LEC,8744,,155026,Christina Hilleboe Kiaer,,TBA ,20,20,,ART_HIST,2017 Spring,Teaching Assistantship In Art History,
218-0,32484,SEM,18444,15:20,155027,Nitasha Tamar Sharma,TuTh,Parkes Hall 223,30,1,14:00,ASIAN_AM,2017 Spring,Asian/Black Historical Relations in the U.S.,
220-0,32489,LEC,21591,10:50,155030,Shana B Bernstein,TuTh,University Hall 102,30,3,9:30,ASIAN_AM,2017 Spring,Topics in History,Japanese American 'Internment'
220-0,32488,LEC,21591,10:50,155029,Justin K Tse,MoWe,University Hall 102,15,2,9:30,ASIAN_AM,2017 Spring,Topics in History,Asian American Social Movements
220-0,32487,LEC,21591,13:50,155028,Justin K Tse,MoWe,University Hall 102,15,1,12:30,ASIAN_AM,2017 Spring,Topics in History,The Chinese American Experience
275-0,32483,LEC,16673,12:20,155031,Douglas Sadao Ishii,MoWe,Locy Hall 318,30,1,11:00,ASIAN_AM,2017 Spring,Introduction to Asian American Literature,
276-0,32486,LEC,21590,15:20,155032,Douglas Sadao Ishii,MoWe,Kresge Centennial Hall 2-425,30,1,14:00,ASIAN_AM,2017 Spring,Topics in Literary and Cultural Studies,Asian American Music
360-0,32485,SEM,18614,12:20,155033,Jillana B Enteen,TuTh,University Hall 102,20,1,11:00,ASIAN_AM,2017 Spring,"Studies in Race, Gender, and Sexuality",Med Tourism & Transn'l Sex'lty
376-0,32490,LEC,21594,13:50,155034,Umayyah Eleanor Cable,TuTh,University Hall 102,15,1,12:30,ASIAN_AM,2017 Spring,Advanced Topics in Literary and Cultural Studies,Arab American Arts and Cinema
394-0,32480,LEC,15419,20:50,155035,Tatsuyuki Aoki,Tu,TBA ,25,20,18:00,ASIAN_AM,2017 Spring,Professional Linkage Program,Asian American Arts in Practice
290-0,32523,LEC,18603,16:50,155039,Thomas Martin Gaubatz,TuTh,Parkes Hall 212,30,23,15:30,ASIAN_LC,2017 Spring,Introductory Topics in Asian Languages and Cultures,The City in Early Modern Japan
290-0,32521,LEC,18603,15:20,155037,Daniel Joseph Majchrowicz,TuTh,Harris Hall L06,30,21,14:00,ASIAN_LC,2017 Spring,Introductory Topics in Asian Languages and Cultures,"Burning Embers and Burka Avengers: Society, the Ar"
290-0,32522,LEC,18603,10:50,155038,Mi-Ryong Shim,TuTh,Harris Hall L28,30,22,9:30,ASIAN_LC,2017 Spring,Introductory Topics in Asian Languages and Cultures,Korean Film and Society
290-0,32520,LEC,18603,12:20,155036,Anne Elizabeth Rebull,MoWe,Fisk Hall 114,30,20,11:00,ASIAN_LC,2017 Spring,Introductory Topics in Asian Languages and Cultures,Reinventing the Chinese Stage in the 20th Century
390-0,32524,LEC,18604,10:50,155040,Daniel Joseph Majchrowicz,TuTh,Harris Hall L06,30,20,9:30,ASIAN_LC,2017 Spring,Advanced Topics in Asian Languages and Cultures,This is not that dawn: The Partition of India an
390-0,32525,LEC,18604,15:20,155041,Mi-Ryong Shim,TuTh,Kresge Centennial Hall 2-425,30,21,14:00,ASIAN_LC,2017 Spring,Advanced Topics in Asian Languages and Cultures,Imagining Asia
390-0,32526,LEC,18604,15:20,155042,Anne Elizabeth Rebull,MoWe,Harris Hall L28,30,22,14:00,ASIAN_LC,2017 Spring,Advanced Topics in Asian Languages and Cultures,Vernacular Practice in Modern China
390-3,36524,SEM,20723,16:50,155043,Meredith L McGuire,TuTh,,9,21,15:30,ASIAN_ST,2017 Spring,Advanced Topics in Asian Studies,Globalizing India
390-3,36525,SEM,20723,10:50,155044,Stefan Henning,TuTh,1810 Hinman Ave (ANTHRO) Sem Rm B07,30,22,9:30,ASIAN_ST,2017 Spring,Advanced Topics in Asian Studies,Islam in Asia
390-4,38000,LEC,22384,12:20,156763,Melissa A Macauley,MoWe,University Hall 121,30,1,11:00,ASIAN_ST,2017 Spring,Adv Topics in Asian Studies,Sino-American Relations in the Modern World
120-CN,38055,LEC,6063,21:15,156776,Andrew J Rivers,Mo,Technological Institute F281,30,62,18:15,ASTRON,2017 Spring,Highlights of Astronomy,
220-0,36991,LEC,1340,14:50,155045,Melville P Ulmer,MoWeFr,Technological Institute L361,100,1,14:00,ASTRON,2017 Spring,Introduction to Astrophysics,
321-0,37011,LEC,1357,15:20,155046,Giles A Novak,TuTh,Dearborn Observatory 23,10,1,14:00,ASTRON,2017 Spring,Observational Astrophysics,
