"","X","X1972..YR1972.","X1973..YR1973.","X1974..YR1974.","X1975..YR1975.","X1976..YR1976.","X1977..YR1977.","X1978..YR1978.","X1979..YR1979.","X1980..YR1980.","X1981..YR1981.","X1982..YR1982.","X1983..YR1983.","X1984..YR1984.","X1985..YR1985.","X1986..YR1986.","X1987..YR1987.","X1988..YR1988.","X1989..YR1989.","X1990..YR1990.","X1991..YR1991.","X1992..YR1992.","X1993..YR1993.","X1994..YR1994.","X1995..YR1995.","X1996..YR1996.","X1997..YR1997.","X1998..YR1998.","X1999..YR1999.","X2000..YR2000.","X2001..YR2001.","X2002..YR2002.","X2003..YR2003.","X2004..YR2004.","X2005..YR2005.","X2006..YR2006.","X2007..YR2007.","Country.Name","Series.Code","Series.Name"
"121",161437,5893113,5989840,6089644,6191134,6293218,6396391,6502693,6615058,6735247,6865516,7004456,7145879,7281246,7405201,7514770,7613990,7713098,7826368,7964066,8130473,8322743,8535338,8759442,8988853,9222157,9462256,9712365,9977308,10260577,10562768,10882662,11219737,11572936,11941258,12325545,12725629,"Mali","SP.POP.TOTL","Population (Total)"
"122",162774,302450,302200,301996,304222,305774,306970,310182,313342,316645,318982,325898,330524,330593,336452,342121,344485,347325,350722,354170,357727,361260,364704,367941,370433,372687,375236,377516,379360,381363,393028,395969,398582,401268,403834,405308,406724,"Malta","SP.POP.TOTL","Population (Total)"
"123",164111,22340,23440,24536,25580,26549,27470,28399,29416,30581,31895,33334,34895,36567,38334,40203,42148,44063,45813,47300,48481,49382,50052,50577,51020,51397,51697,51922,52076,52161,52184,52161,52115,52074,52058,52084,52150,"Marshall Islands","SP.POP.TOTL","Population (Total)"
"124",165448,1217914,1253831,1290741,1328672,1367629,1407619,1448677,1490842,1534141,1578670,1624427,1671233,1718837,1767099,1815983,1865686,1916611,1969295,2024163,2081380,2140957,2202966,2267433,2334388,2403805,2475726,2550307,2627739,2708095,2791403,2877431,2965667,3055425,3146164,3237713,3330037,"Mauritania","SP.POP.TOTL","Population (Total)"
"125",166785,852053,864819,878042,892000,906507,921379,936435,951419,966000,979133,990754,1000804,1009233,1016000,1024680,1032760,1040841,1048921,1058775,1070266,1084441,1097374,1112846,1122457,1133996,1148284,1160421,1175267,1186873,1199881,1210196,1222811,1233386,1243253,1252698,1260403,"Mauritius","SP.POP.TOTL","Population (Total)"
"126",168122,56395803,58155590,59931341,61708369,63486196,65261295,67012869,68715443,70353013,71916281,73415735,74880326,76351106,77859344,79410218,80999175,82635332,84326921,86077004,87890094,89757916,91653826,93541577,95392647,97201533,98968558,100678867,102316781,103873607,105339877,106723661,108056312,109381550,110731826,112116694,113529819,"Mexico","SP.POP.TOTL","Population (Total)"
"127",169459,62298,62289,62477,63146,64386,66110,68221,70550,72967,75462,78057,80678,83242,85689,87948,90024,92020,94091,96331,98800,101412,103937,106057,107556,108342,108506,108236,107808,107430,107170,106983,106816,106575,106198,105686,105097,"Micronesia, Fed. Sts.","SP.POP.TOTL","Population (Total)"
"128",170796,3132000,3175000,3215000,3252000,3284000,3313000,3339000,3367000,3397000,3429000,3464000,3500000,3536000,3570000,3602000,3632000,3659000,3681000,3696000,3706000,3709000,3705000,3694000,3675099,3667748,3654208,3652732,3647001,3639592,3631462,3623062,3612874,3603945,3595187,3585209,3576910,"Moldova","SP.POP.TOTL","Population (Total)"
"129",172133,24052,24440,24835,25201,25521,25809,26086,26391,26746,27165,27629,28098,28514,28836,29048,29169,29238,29313,29438,29626,29864,30138,30423,30700,30971,31242,31517,31795,32081,32366,32653,32968,33346,33808,34369,35013,"Monaco","SP.POP.TOTL","Population (Total)"
"130",173470,1356666,1397302,1438421,1479648,1520864,1562211,1603907,1646290,1689621,1733477,1777724,1823211,1871083,1921881,1976309,2033347,2089721,2141016,2184159,2217937,2243525,2263224,2280519,2298063,2316598,2335723,2355618,2376197,2397473,2419669,2443231,2468595,2496248,2526502,2559496,2595068,"Mongolia","SP.POP.TOTL","Population (Total)"
