"","country","year","demo_score"
"175","Afghanistan","1974",-7
"176","Afghanistan","1975",-7
"177","Afghanistan","1976",-7
"178","Afghanistan","1977",-7
"179","Afghanistan","1978",0
"180","Afghanistan","1979",-10
"181","Afghanistan","1980",-10
"182","Afghanistan","1981",-10
"183","Afghanistan","1982",-10
"184","Afghanistan","1983",-10
"185","Afghanistan","1984",-10
"186","Afghanistan","1985",-10
"187","Afghanistan","1986",-10
"188","Afghanistan","1987",-10
"189","Afghanistan","1988",-10
"190","Afghanistan","1989",-8
"191","Afghanistan","1990",-8
"192","Afghanistan","1991",-8
"193","Afghanistan","1992",0
"194","Afghanistan","1993",0
"195","Afghanistan","1994",0
"196","Afghanistan","1995",0
"197","Afghanistan","1996",-7
"198","Afghanistan","1997",-7
"199","Afghanistan","1998",-7
"200","Afghanistan","1999",-7
"201","Afghanistan","2000",-7
"202","Albania","1914",-2
"203","Albania","1915",0
"204","Albania","1916",0
"205","Albania","1917",0
"206","Albania","1918",0
"207","Albania","1919",0
"208","Albania","1920",0
"209","Albania","1921",0
"210","Albania","1922",0
"211","Albania","1923",0
"212","Albania","1924",0
"213","Albania","1925",-9
"214","Albania","1926",-9
"215","Albania","1927",-9
"216","Albania","1928",-9
"217","Albania","1929",-9
"218","Albania","1930",-9
"219","Albania","1931",-9
"220","Albania","1932",-9
"221","Albania","1933",-9
"222","Albania","1934",-9
"223","Albania","1935",-9
"224","Albania","1936",-9
"225","Albania","1937",-9
"226","Albania","1938",-9
"227","Albania","1939",0
"228","Albania","1940",0
"229","Albania","1941",0
"230","Albania","1942",0
"231","Albania","1943",0
"232","Albania","1944",0
"233","Albania","1945",-5
"234","Albania","1946",-9
"235","Albania","1947",-9
"236","Albania","1948",-9
"237","Albania","1949",-9
"238","Albania","1950",-9
"239","Albania","1951",-9
"240","Albania","1952",-9
"241","Albania","1953",-9
"242","Albania","1954",-9
"243","Albania","1955",-9
"244","Albania","1956",-9
"245","Albania","1957",-9
"246","Albania","1958",-9
"247","Albania","1959",-9
"248","Albania","1960",-9
"249","Albania","1961",-9
"250","Albania","1962",-9
"251","Albania","1963",-9
"252","Albania","1964",-9
"253","Albania","1965",-9
"254","Albania","1966",-9
"255","Albania","1967",-9
"256","Albania","1968",-9
"257","Albania","1969",-9
"258","Albania","1970",-9
"259","Albania","1971",-9
"260","Albania","1972",-9
"261","Albania","1973",-9
"262","Albania","1974",-9
"263","Albania","1975",-9
"264","Albania","1976",-9
"265","Albania","1977",-9
"266","Albania","1978",-9
"267","Albania","1979",-9
"268","Albania","1980",-9
"269","Albania","1981",-9
"270","Albania","1982",-9
"271","Albania","1983",-9
"272","Albania","1984",-9
"273","Albania","1985",-9
"274","Albania","1986",-9
"275","Albania","1987",-9
"276","Albania","1988",-9
"277","Albania","1989",-9
"278","Albania","1990",1
"279","Albania","1991",1
"280","Albania","1992",5
"281","Albania","1993",5
"282","Albania","1994",5
"283","Albania","1995",5
"284","Albania","1996",0
"285","Albania","1997",5
"286","Albania","1998",5
"287","Albania","1999",5
"288","Albania","2000",5
"289","Albania","2001",5
"290","Albania","2002",7
"291","Albania","2003",7
"292","Albania","2004",7
"293","Albania","2005",9
"294","Albania","2006",9
"295","Albania","2007",9
"296","Albania","2008",9
"297","Albania","2009",9
"298","Albania","2010",9
"299","Albania","2011",9
"300","Algeria","1962",-8
"301","Algeria","1963",-8
"302","Algeria","1964",-8
"303","Algeria","1965",-9
"304","Algeria","1966",-9
"305","Algeria","1967",-9
"306","Algeria","1968",-9
"307","Algeria","1969",-9
"308","Algeria","1970",-9
"309","Algeria","1971",-9
"310","Algeria","1972",-9
"311","Algeria","1973",-9
"312","Algeria","1974",-9
"313","Algeria","1975",-9
"314","Algeria","1976",-9
"315","Algeria","1977",-9
"316","Algeria","1978",-9
"317","Algeria","1979",-9
"318","Algeria","1980",-9
"319","Algeria","1981",-9
"320","Algeria","1982",-9
"321","Algeria","1983",-9
"322","Algeria","1984",-9
"323","Algeria","1985",-9
"324","Algeria","1986",-9
"325","Algeria","1987",-9
"326","Algeria","1988",-9
"327","Algeria","1989",-2
"328","Algeria","1990",-2
"329","Algeria","1991",-2
"330","Algeria","1992",-7
"331","Algeria","1993",-7
"332","Algeria","1994",-7
"333","Algeria","1995",-3
"334","Algeria","1996",-3
"335","Algeria","1997",-3
"336","Algeria","1998",-3
"337","Algeria","1999",-3
"338","Algeria","2000",-3
"339","Algeria","2001",-3
"340","Algeria","2002",-3
"341","Algeria","2003",-3
"342","Algeria","2004",2
"343","Algeria","2005",2
"344","Algeria","2006",2
"345","Algeria","2007",2
"346","Algeria","2008",2
"347","Algeria","2009",2
"348","Algeria","2010",2
"349","Algeria","2011",2
"350","Angola","1975",-7
"351","Angola","1976",-7
"352","Angola","1977",-7
"353","Angola","1978",-7
"354","Angola","1979",-7
"355","Angola","1980",-7
"356","Angola","1981",-7
"357","Angola","1982",-7
"358","Angola","1983",-7
"359","Angola","1984",-7
"360","Angola","1985",-7
"361","Angola","1986",-7
"362","Angola","1987",-7
"363","Angola","1988",-7
"364","Angola","1989",-7
"365","Angola","1990",-7
"366","Angola","1991",-3
"367","Angola","1992",0
"368","Angola","1993",-1
"369","Angola","1994",-1
"370","Angola","1995",-2
"371","Angola","1996",-2
"372","Angola","1997",-3
"373","Angola","1998",-3
"374","Angola","1999",-3
"375","Angola","2000",-3
"376","Angola","2001",-3
"377","Angola","2002",-2
"378","Angola","2003",-2
"379","Angola","2004",-2
"380","Angola","2005",-2
"381","Angola","2006",-2
"382","Angola","2007",-2
"383","Angola","2008",-2
"384","Angola","2009",-2
"385","Angola","2010",-2
"386","Angola","2011",-2
"387","Argentina","1825",-5
"388","Argentina","1826",-5
"389","Argentina","1827",-5
"390","Argentina","1828",-5
"391","Argentina","1829",-5
"392","Argentina","1830",-5
"393","Argentina","1831",-5
"394","Argentina","1832",-5
"395","Argentina","1833",-5
"396","Argentina","1834",-5
"397","Argentina","1835",-5
"398","Argentina","1836",-5
"399","Argentina","1837",-5
"400","Argentina","1838",-5
"401","Argentina","1839",-5
"402","Argentina","1840",-5
"403","Argentina","1841",-5
"404","Argentina","1842",-5
"405","Argentina","1843",-5
"406","Argentina","1844",-5
"407","Argentina","1845",-5
"408","Argentina","1846",-5
"409","Argentina","1847",-5
"410","Argentina","1848",-5
"411","Argentina","1849",-5
"412","Argentina","1850",-5
"413","Argentina","1851",-5
"414","Argentina","1852",-4
"415","Argentina","1853",-3
"416","Argentina","1854",-3
"417","Argentina","1855",-3
"418","Argentina","1856",-3
"419","Argentina","1857",-3
"420","Argentina","1858",-3
"421","Argentina","1859",-3
"422","Argentina","1860",-3
"423","Argentina","1861",-3
"424","Argentina","1862",-3
"425","Argentina","1863",-3
"426","Argentina","1864",-3
"427","Argentina","1865",-3
"428","Argentina","1866",-3
"429","Argentina","1867",-3
"430","Argentina","1868",-3
"431","Argentina","1869",-3
"432","Argentina","1870",-3
"433","Argentina","1871",-3
"434","Argentina","1872",-3
"435","Argentina","1873",-3
"436","Argentina","1874",-3
"437","Argentina","1875",-3
"438","Argentina","1876",-3
"439","Argentina","1877",-3
"440","Argentina","1878",-3
"441","Argentina","1879",-3
"442","Argentina","1880",1
"443","Argentina","1881",1
"444","Argentina","1882",1
"445","Argentina","1883",1
"446","Argentina","1884",1
"447","Argentina","1885",1
"448","Argentina","1886",1
"449","Argentina","1887",1
"450","Argentina","1888",1
"451","Argentina","1889",1
"452","Argentina","1890",1
"453","Argentina","1891",1
"454","Argentina","1892",1
"455","Argentina","1893",1
"456","Argentina","1894",1
"457","Argentina","1895",1
"458","Argentina","1896",1
"459","Argentina","1897",1
"460","Argentina","1898",1
"461","Argentina","1899",1
"462","Argentina","1900",1
"463","Argentina","1901",1
"464","Argentina","1902",1
"465","Argentina","1903",1
"466","Argentina","1904",1
"467","Argentina","1905",1
"468","Argentina","1906",1
"469","Argentina","1907",1
"470","Argentina","1908",1
"471","Argentina","1909",1
"472","Argentina","1910",1
"473","Argentina","1911",1
"474","Argentina","1912",2
"475","Argentina","1913",2
"476","Argentina","1914",2
"477","Argentina","1915",2
"478","Argentina","1916",2
"479","Argentina","1917",2
"480","Argentina","1918",2
"481","Argentina","1919",2
"482","Argentina","1920",2
"483","Argentina","1921",2
"484","Argentina","1922",2
"485","Argentina","1923",2
"486","Argentina","1924",2
"487","Argentina","1925",2
"488","Argentina","1926",2
"489","Argentina","1927",2
"490","Argentina","1928",2
"491","Argentina","1929",2
"492","Argentina","1930",-8
"493","Argentina","1931",-8
"494","Argentina","1932",-8
"495","Argentina","1933",-8
"496","Argentina","1934",-8
"497","Argentina","1935",-8
"498","Argentina","1936",-8
"499","Argentina","1937",5
"500","Argentina","1938",5
"501","Argentina","1939",5
"502","Argentina","1940",5
"503","Argentina","1941",5
"504","Argentina","1942",5
"505","Argentina","1943",-8
"506","Argentina","1944",-8
"507","Argentina","1945",-8
"508","Argentina","1946",-8
"509","Argentina","1947",-9
"510","Argentina","1948",-9
"511","Argentina","1949",-9
"512","Argentina","1950",-9
"513","Argentina","1951",-9
"514","Argentina","1952",-9
"515","Argentina","1953",-9
"516","Argentina","1954",-9
"517","Argentina","1955",-6
"518","Argentina","1956",-3
"519","Argentina","1957",-1
"520","Argentina","1958",-1
"521","Argentina","1959",-1
"522","Argentina","1960",-1
"523","Argentina","1961",-1
"524","Argentina","1962",-1
"525","Argentina","1963",-1
"526","Argentina","1964",-1
"527","Argentina","1965",-1
"528","Argentina","1966",-9
"529","Argentina","1967",-9
"530","Argentina","1968",-9
"531","Argentina","1969",-9
"532","Argentina","1970",-9
"533","Argentina","1971",-9
"534","Argentina","1972",-9
"535","Argentina","1973",6
"536","Argentina","1974",6
"537","Argentina","1975",6
"538","Argentina","1976",-9
"539","Argentina","1977",-9
"540","Argentina","1978",-9
"541","Argentina","1979",-9
"542","Argentina","1980",-9
"543","Argentina","1981",-8
"544","Argentina","1982",-8
"545","Argentina","1983",8
"546","Argentina","1984",8
"547","Argentina","1985",8
"548","Argentina","1986",8
"549","Argentina","1987",8
"550","Argentina","1988",8
"551","Argentina","1989",7
"552","Argentina","1990",7
"553","Argentina","1991",7
"554","Argentina","1992",7
"555","Argentina","1993",7
"556","Argentina","1994",7
"557","Argentina","1995",7
"558","Argentina","1996",7
"559","Argentina","1997",7
"560","Argentina","1998",7
"561","Argentina","1999",8
"562","Argentina","2000",8
"563","Argentina","2001",8
"564","Argentina","2002",8
"565","Argentina","2003",8
"566","Argentina","2004",8
"567","Argentina","2005",8
"568","Argentina","2006",8
"569","Argentina","2007",8
"570","Argentina","2008",8
"571","Argentina","2009",8
"572","Argentina","2010",8
"573","Argentina","2011",8
"574","Armenia","1923",-7
"575","Armenia","1924",-7
"576","Armenia","1925",-7
"577","Armenia","1926",-7
"578","Armenia","1927",-8
"579","Armenia","1928",-8
"580","Armenia","1929",-8
"581","Armenia","1930",-8
"582","Armenia","1931",-8
"583","Armenia","1932",-8
"584","Armenia","1933",-9
"585","Armenia","1934",-9
"586","Armenia","1935",-9
